product_productId,review_score
0595281370,4.538461538461538
0793821053,4.8
0975412809,4.607142857142857
1903492022,4.5
1903499920,4.0
2272800020,2.0
2272800022,4.5
2272800024,2.5
2272800025,4.25
2272800033,3.8
2272800034,4.0
4847676011,5.0
7310172001,4.741293532338308
7310172101,4.741293532338308
B00002N8FH,3.9
B00002N8FK,4.222222222222222
B000035X8X,4.0
B00004RA8P,4.152985074626866
B00004RA8Q,3.3333333333333335
B00004RA8X,2.0
B00004RA91,2.2
B00004RA94,2.5
B00004RA96,3.0
B00004RA98,2.8
B00004RBDU,3.881720430107527
B00004SBEG,2.8
B00004X14I,5.0
B00004X14J,3.0
B00004ZAVO,5.0
B00004ZAVR,3.7419354838709675
B00004ZAW2,3.5588235294117645
B00004ZAW3,3.2857142857142856
B00004ZAW4,3.4070796460176993
B00004ZB4F,4.157894736842105
B00004ZB4J,4.620689655172414
B000052YVA,3.5
B00005850M,2.78125
B00005C265,3.066666666666667
B00005MF9T,2.986425339366516
B00005MF9U,3.1772151898734178
B00005MF9V,2.4850299401197606
B00005OMW5,4.111111111111111
B00005OMW6,5.0
B00005OMWC,2.6666666666666665
B00005OMWM,4.8
B00005OMWO,4.857142857142857
B00005OMWQ,4.375
B00005OMWX,3.0
B00005OMX5,3.3902439024390243
B00005OMX6,3.0606060606060606
B00005OMX7,5.0
B00005OMXH,3.8333333333333335
B00005OMXN,5.0
B00005OMXP,4.875
B00005OU5U,2.5
B00005OU5Y,4.285714285714286
B00005OU62,3.126923076923077
B00005Q50I,4.4
B00005QJD2,2.625
B00005QJD3,2.5714285714285716
B00005QJDB,3.55
B00005RG3D,3.0
B00005RG3F,4.0
B00005RG3G,4.333333333333333
B00005RG3I,5.0
B00005S8I1,4.777777777777778
B00005UO1I,3.8333333333333335
B00005Y1L8,2.7142857142857144
B000062WUT,4.205645161290323
B0000632T8,3.6160714285714284
B000063JDW,5.0
B000063XMM,4.444444444444445
B00006561K,4.833333333333333
B0000682RV,4.0
B000068GPW,5.0
B000068GPZ,4.0
B000068GQ3,4.230769230769231
B000068GQ6,4.0
B000068U4U,3.3157894736842106
B0000695DT,2.0
B00006GTDC,3.9444444444444446
B00006GTDD,3.8
B00006H371,4.202334630350195
B00006H373,4.202334630350195
B00006H374,4.658536585365853
B00006H385,4.076923076923077
B00006H386,4.222222222222222
B00006H387,3.5555555555555554
B00006H388,3.923076923076923
B00006H389,3.75
B00006H38A,4.12
B00006IGSK,3.125
B00006IV0M,2.4166666666666665
B00006IX59,4.77639751552795
B00006IX5A,2.375
